Id,risk_flag
144036,0
166701,0
238331,0
144552,0
203146,0
87938,0
244924,0
163591,0
58904,0
145802,0
234811,0
132878,0
77142,0
177593,0
153237,0
153445,0
230658,0
82204,0
96162,0
119253,0
160980,0
240321,0
156158,0
170421,0
194382,0
4744,0
169357,0
66285,0
207052,0
178389,0
160871,0
166194,0
63653,0
68092,0
216008,0
221770,0
38040,0
40919,0
171377,0
125222,0
12709,0
38579,0
133549,0
132929,0
53548,0
208,0
80498,0
13676,0
163279,0
145634,0
205816,0
98303,0
208929,0
198245,0
167148,0
116210,0
93085,1
208223,0
212237,0
76087,0
222137,0
142356,0
243811,0
107759,0
138703,0
145973,0
182155,0
106287,0
58499,0
81819,0
203264,0
129809,0
63336,0
156483,0
37480,0
23172,0
114527,0
2071,0
171888,0
72631,0
246023,0
60797,0
228659,0
197274,0
28907,0
141522,0
183634,0
48231,0
16378,0
13188,0
150447,0
203943,0
200787,0
39573,0
43509,0
215462,0
10676,0
238800,0
207492,0
41246,0
64651,0
121865,0
199948,0
172601,0
134388,0
31990,0
63548,0
172514,0
138097,0
147808,0
115398,0
171584,0
193016,0
795,0
60608,0
129991,0
244024,0
192030,0
17514,0
17349,0
155142,0
50940,0
154069,0
73904,0
105157,0
10377,0
102188,0
139457,0
116388,0
107705,0
197248,0
190003,0
80546,0
66022,0
127692,0
4135,0
55565,0
49108,0
77356,0
113568,0
138624,0
164478,0
26360,0
98510,0
251687,0
227752,0
46785,0
242464,0
224241,0
203678,0
92635,0
192780,0
160003,0
8516,0
209004,0
143506,0
246095,0
6639,0
162532,0
169584,0
48471,0
54494,0
241094,0
157165,0
202231,0
11691,0
34334,0
138177,0
108073,0
59567,0
65666,0
84201,0
247390,0
34534,0
302,0
158242,0
203090,0
14055,0
39640,0
28163,0
212362,0
188944,0
88056,0
104268,0
237072,0
220900,0
93149,0
214132,0
87619,0
82483,0
35247,0
217082,0
226554,0
37803,0
151339,0
118513,0
29275,0
46100,0
6194,0
37865,0
66145,0
106133,0
188500,0
14767,0
155505,0
20715,0
204092,0
77978,0
117234,0
45997,0
140152,0
221652,0
99469,0
157825,0
182362,0
224819,0
191822,0
36895,0
92650,0
118785,0
48593,0
168223,0
129033,0
81786,0
31025,0
112565,0
238101,0
212323,0
16577,0
169485,0
35311,0
150533,0
188414,0
139928,0
83271,0
209674,0
55793,0
632,0
152894,0
27753,0
86555,0
93985,0
86109,0
215564,0
79313,0
99516,0
189531,0
104656,0
154952,0
184800,0
77586,0
227410,0
165138,0
94120,0
64200,0
39955,0
8832,0
194725,0
160356,0
168702,0
168996,0
220936,0
129326,0
190061,0
131463,0
33957,0
243940,0
26678,0
36543,0
181143,0
74364,0
241809,0
240459,0
161491,0
3870,0
160783,0
246735,0
69349,0
8770,0
2821,0
210057,0
80242,0
122816,0
48395,0
31208,0
212055,0
181969,0
109667,0
243271,0
72933,0
11,0
53155,0
204105,0
143086,0
168895,0
189502,0
231580,0
183544,0
220619,0
51251,0
1258,0
18180,0
126308,0
85742,0
227381,0
355,0
97971,0
70048,0
2439,0
130338,0
51870,0
45657,0
182576,0
125598,0
117255,0
114521,0
234248,0
137319,0
69121,0
21836,0
33617,0
130578,0
196754,0
152618,0
159051,0
125412,0
125077,0
247251,0
249044,0
129752,0
91997,0
132722,0
172665,0
70605,0
248574,0
97360,0
149660,0
177358,0
118847,0
124610,0
245885,0
138095,0
71367,0
103975,0
36945,0
200533,0
1325,0
166763,0
238383,0
171918,0
66235,0
143438,0
231798,0
75810,0
79291,0
201926,0
25477,0
162414,0
100594,0
124406,0
210765,0
43179,0
149062,0
10787,0
113731,0
166584,0
107164,0
184178,0
185780,0
37880,0
31500,0
155978,0
202040,0
135984,0
188312,0
166446,0
133481,0
61422,0
216661,0
192381,0
199890,0
83180,0
22965,0
17429,0
56194,0
102558,0
219556,0
27103,0
7313,0
116908,0
75334,0
195874,0
73156,0
235915,0
217972,0
43880,0
101921,0
85610,0
66694,0
239093,0
63689,0
86778,0
117430,0
173093,0
111801,0
163078,0
144652,0
42168,0
75362,0
136683,0
95817,0
211184,0
97866,0
61786,0
155301,0
78924,0
222810,0
170538,0
161279,0
218147,0
144781,0
35313,0
59779,0
221078,0
24864,0
64574,0
115577,0
183195,0
176983,0
73158,0
113724,0
192411,0
54009,0
76294,0
164137,0
45369,0
123898,0
30440,0
73485,0
165277,0
110854,0
96242,0
189823,0
230380,0
183206,0
222719,0
203205,0
82963,0
224317,0
165586,0
77689,0
194163,0
198600,0
152341,0
227998,0
225324,0
96456,0
96597,0
89979,0
128222,0
108409,0
136165,0
208487,0
5881,0
5800,0
38460,0
228201,0
212268,0
248902,0
215057,0
202222,0
174836,0
221250,0
66740,0
186001,0
82544,0
170548,0
43324,0
3226,0
44305,0
202823,0
78667,0
58654,0
180027,0
31013,0
8750,0
38169,0
126506,0
92009,0
61507,0
2759,0
63829,0
124083,0
74097,0
131405,0
209689,0
135980,0
246318,0
5466,0
149493,0
250569,0
196290,0
134387,0
75426,0
16040,0
51017,0
30066,0
198269,0
159693,0
235420,0
39321,0
238597,0
243252,0
42649,0
135227,0
172246,0
54393,0
228619,0
43426,0
191814,0
116292,0
189497,0
63558,0
113682,0
190636,0
77958,0
188917,0
105667,0
131664,0
163525,0
196755,0
99973,0
106380,0
2247,0
189893,0
50476,0
90667,0
208345,0
107789,0
75518,0
223997,0
217268,0
242697,0
80146,0
19514,0
169434,0
91503,0
51021,0
54453,0
129767,0
158569,0
156510,0
180560,0
203881,0
161557,0
31181,0
118024,0
28350,0
11849,0
21702,0
113965,0
94218,0
162274,0
205937,0
27349,0
241542,0
83807,0
60878,0
215332,0
223056,0
68613,0
63640,0
115414,0
22461,0
119083,0
63710,0
70789,0
28480,0
60872,0
214558,0
215280,0
184738,0
74821,0
162255,0
64759,0
66340,0
110761,0
134194,0
72311,0
225424,0
102280,0
105534,0
173404,0
186393,0
116897,0
120621,0
16664,0
153196,0
29901,0
191388,0
182296,0
226080,0
231450,0
209015,0
141900,0
212414,0
96458,0
102669,0
155175,0
215137,0
200217,0
109661,0
249100,0
74438,0
135493,0
67499,0
141922,0
54860,0
13824,0
143352,0
59163,0
186572,0
131042,0
16323,0
3334,0
213888,0
111806,0
96987,0
64097,0
68037,0
212664,0
30388,0
163392,0
243532,0
77261,0
250837,0
232340,0
178605,0
188685,0
172419,0
8783,0
35423,0
185240,0
179025,0
116119,0
193941,0
190753,0
162976,0
205961,0
21892,0
136971,0
96938,0
153689,0
224439,0
38146,0
87786,0
140090,0
214915,0
24599,0
95286,0
87089,0
32970,0
1319,0
205050,0
46635,0
103410,0
82724,0
